children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
1,-8437.673027760233,42,masters degree,0,married,0,F,employee,0,253875.6394525987,purchase of the house
1,-4024.803753850451,36,secondary education,1,married,0,F,employee,0,112080.01410244203,car purchase
0,-5623.422610230956,33,Secondary Education,1,married,0,M,employee,0,145885.95229686378,purchase of the house
3,-4124.747206540018,32,secondary education,1,married,0,M,employee,0,267628.5503294142,supplementary education
0,340266.07204682194,53,secondary education,1,civil partnership,1,F,retiree,0,158616.07787006293,to have a wedding
0,-926.1858308789183,27,masters degree,0,civil partnership,1,M,partner,0,255763.56541904988,purchase of the house
0,-2879.202052139952,43,masters degree,0,married,0,F,partner,0,240525.9719203061,housing transactions
0,-152.7795691752705,50,SECONDARY EDUCATION,1,married,0,M,employee,0,135823.93419727974,education
2,-6929.865298973741,35,MASTERS DEGREE,0,civil partnership,1,F,employee,0,95856.83242386373,having a wedding
0,-2188.7564450779378,41,secondary education,1,married,0,M,employee,0,144425.93827708642,purchase of the house for my family
2,-4171.483646903305,36,masters degree,0,married,0,M,partner,0,113943.4914603043,buy real estate
0,-792.7018870609315,40,secondary education,1,married,0,F,employee,0,77069.23427130934,buy commercial real estate
0,,65,secondary education,1,civil partnership,1,M,retiree,0,,to have a wedding
0,-1846.6419410560736,54,bachelor degree,2,married,0,F,employee,0,130458.22885695785,car purchase
0,-1844.9561821875545,56,masters degree,0,civil partnership,1,F,partner,1,165127.91177218047,buy residential real estate
1,-972.3644189900732,26,secondary education,1,married,0,F,employee,0,116820.90444993385,construction of own property
0,-1719.9342261530542,35,secondary education,1,married,0,F,employee,0,289202.7042292056,property
0,-2369.999720209008,33,masters degree,0,civil partnership,1,M,employee,0,90410.58674466488,building a property
0,400281.1369125588,53,secondary education,1,widow / widower,2,F,retiree,0,56823.7772431838,buying a second-hand car
0,-10038.818548915877,48,SECONDARY EDUCATION,1,divorced,3,F,employee,0,242831.107981772,buying my own car
1,-1311.6041664289485,36,secondary education,1,married,0,M,employee,0,209552.64457761555,property
1,-253.68516578402497,33,secondary education,1,civil partnership,1,F,employee,0,131812.20390893804,car purchase
1,-1766.6441376815046,24,secondary education,1,civil partnership,1,F,employee,0,149681.1407311689,buying a second-hand car
0,-272.98138503340437,21,masters degree,0,civil partnership,1,M,employee,0,128265.72087100227,to have a wedding
1,338551.95291136915,57,secondary education,1,unmarried,4,F,retiree,0,290547.2359974949,transactions with the residential real estate
0,363548.4893483957,67,secondary education,1,married,0,M,retiree,0,55112.757731719255,buy real estate
0,,41,secondary education,1,married,0,M,civil servant,0,,education
0,-529.1916346594236,28,masters degree,0,married,0,M,employee,0,308848.9836905699,construction of own property
1,-717.2743239418727,26,masters degree,0,married,0,F,employee,0,187863.23730595878,construction of own property
0,,63,secondary education,1,unmarried,4,F,retiree,0,,building a real estate
1,335581.6685149753,62,secondary education,1,married,0,F,retiree,0,171456.06799338743,transactions with the residential real estate
0,-1682.08343808475,47,primary education,3,married,0,F,employee,0,275485.684538057,housing
0,-4649.910831728614,34,SECONDARY EDUCATION,1,civil partnership,1,F,employee,1,139057.46420747985,having a wedding
0,-1548.6375436404599,48,secondary education,1,married,0,F,partner,0,157245.78623254097,purchase of the house
0,-4488.067031277062,35,secondary education,1,married,0,F,employee,0,104660.44920263148,transactions with my real estate
0,394021.0721837952,68,secondary education,1,civil partnership,1,M,retiree,0,77805.67743642293,having a wedding
0,-176.21668833712155,33,secondary education,1,unmarried,4,M,employee,0,138830.65073407194,cars
0,-6448.810859676204,43,MASTERS DEGREE,0,civil partnership,1,F,partner,0,154128.87867164516,car purchase
0,-597.8818273051091,25,masters degree,0,unmarried,4,M,employee,1,192247.29863931693,education
0,-650.5877964026586,31,masters degree,0,civil partnership,1,F,partner,0,754240.7972479195,to become educated
0,-1030.3626056014652,30,secondary education,1,unmarried,4,M,partner,0,142865.57914588266,buy real estate
0,,50,secondary education,1,married,0,F,civil servant,0,,second-hand car purchase
0,-1257.4961901986044,20,bachelor degree,2,unmarried,4,F,employee,0,82065.08902109257,getting an education
0,-4375.681384360526,43,bachelor degree,2,divorced,3,F,partner,0,272957.1335085173,car purchase
1,-1362.0417275002387,26,SECONDARY EDUCATION,1,married,0,F,employee,0,100780.49674870801,buying my own car
1,-1039.4517405766287,49,secondary education,1,unmarried,4,F,employee,0,106385.91972360344,to become educated
2,-2262.712303593806,37,secondary education,1,married,0,F,partner,0,182682.4598984296,second-hand car purchase
1,-2689.1372742032745,33,masters degree,0,civil partnership,1,M,civil servant,0,356277.90934547666,having a wedding
0,-3341.0678863600633,45,secondary education,1,married,0,F,employee,0,162065.5164499865,construction of own property
0,-1181.443228272809,54,secondary education,1,married,0,F,employee,0,44591.80688753629,car
0,353731.4323382981,63,secondary education,1,married,0,F,retiree,0,92342.73061169684,cars
1,-6953.631654563154,50,masters degree,0,civil partnership,1,F,employee,0,203199.6835687721,wedding ceremony
1,-3554.6715257531628,28,secondary education,1,married,0,F,employee,0,52746.4223236867,to get asupplementary education
0,-4219.88338560805,61,SECONDARY EDUCATION,1,divorced,3,F,partner,0,311453.5995296128,purchase of my own house
0,-3480.072792773725,27,masters degree,0,civil partnership,1,F,employee,0,92238.81311104931,cars
0,,54,secondary education,1,civil partnership,1,F,retiree,1,,to have a wedding
0,370145.08723718044,64,secondary education,1,widow / widower,2,F,retiree,0,149141.04353267475,education
0,-2424.809748937992,44,secondary education,1,widow / widower,2,F,employee,0,58616.40596004223,education
0,-335.31863038428764,36,masters degree,0,married,0,M,employee,0,414404.2028972774,property
0,-4341.7867754100425,53,secondary education,1,civil partnership,1,F,partner,0,261369.5064850721,real estate transactions
1,-2534.462390327333,48,secondary education,1,married,0,M,employee,0,129902.28373544553,to become educated
0,-2986.20212028634,42,secondary education,1,civil partnership,1,F,employee,0,173987.4729290881,buy real estate
