children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
1,-8437.673027760233,42,bachelor's degree,0,married,0,F,employee,0,40620.102,purchase of the house
1,-4024.803753850451,36,secondary education,1,married,0,F,employee,0,17932.802,car purchase
0,-5623.422610230956,33,Secondary Education,1,married,0,M,employee,0,23341.752,purchase of the house
3,-4124.747206540018,32,secondary education,1,married,0,M,employee,0,42820.568,supplementary education
0,340266.07204682194,53,secondary education,1,civil partnership,1,F,retiree,0,25378.572,to have a wedding
0,-926.1858308789183,27,bachelor's degree,0,civil partnership,1,M,business,0,40922.17,purchase of the house
0,-2879.202052139952,43,bachelor's degree,0,married,0,F,business,0,38484.156,housing transactions
0,-152.7795691752705,50,SECONDARY EDUCATION,1,married,0,M,employee,0,21731.829,education
2,-6929.865298973741,35,BACHELOR'S DEGREE,0,civil partnership,1,F,employee,0,15337.093,having a wedding
0,-2188.7564450779378,41,secondary education,1,married,0,M,employee,0,23108.15,purchase of the house for my family
2,-4171.483646903305,36,bachelor's degree,0,married,0,M,business,0,18230.959,buy real estate
0,-792.7018870609315,40,secondary education,1,married,0,F,employee,0,12331.077,buy commercial real estate
0,,65,secondary education,1,civil partnership,1,M,retiree,0,,to have a wedding
0,-1846.6419410560736,54,some college,2,married,0,F,employee,0,20873.317,car purchase
0,-1844.9561821875545,56,bachelor's degree,0,civil partnership,1,F,business,1,26420.466,buy residential real estate
1,-972.3644189900732,26,secondary education,1,married,0,F,employee,0,18691.345,construction of own property
0,-1719.9342261530542,35,secondary education,1,married,0,F,employee,0,46272.433,property
0,-2369.999720209008,33,bachelor's degree,0,civil partnership,1,M,employee,0,14465.694,building a property
0,400281.1369125588,53,secondary education,1,widow / widower,2,F,retiree,0,9091.804,buying a second-hand car
0,-10038.818548915877,48,SECONDARY EDUCATION,1,divorced,3,F,employee,0,38852.977,buying my own car
1,-1311.6041664289485,36,secondary education,1,married,0,M,employee,0,33528.422999999995,property
1,-253.68516578402497,33,secondary education,1,civil partnership,1,F,employee,0,21089.953,car purchase
1,-1766.6441376815046,24,secondary education,1,civil partnership,1,F,employee,0,23948.983,buying a second-hand car
0,-272.98138503340437,21,bachelor's degree,0,civil partnership,1,M,employee,0,20522.515,to have a wedding
1,338551.95291136915,57,secondary education,1,unmarried,4,F,retiree,0,46487.558,transactions with commercial real estate
0,363548.4893483957,67,secondary education,1,married,0,M,retiree,0,8818.041,buy real estate
0,,41,secondary education,1,married,0,M,civil servant,0,,education
0,-529.1916346594236,28,bachelor's degree,0,married,0,M,employee,0,49415.837,construction of own property
1,-717.2743239418727,26,bachelor's degree,0,married,0,F,employee,0,30058.118,construction of own property
0,,63,secondary education,1,unmarried,4,F,retiree,0,,building a real estate
1,335581.6685149753,62,secondary education,1,married,0,F,retiree,0,27432.971,transactions with commercial real estate
