dropoff_location_name,average_trips
Loop,10727.466666666667
River North,9523.666666666666
Streeterville,6664.666666666667
West Loop,5163.666666666667
O'Hare,2546.9
Lake View,2420.9666666666667
Grant Park,2068.5333333333333
Museum Campus,1510.0
Gold Coast,1364.2333333333333
Sheffield & DePaul,1259.7666666666667
Lincoln Park,1246.5333333333333
East Village,1212.0666666666666
"Little Italy, UIC",863.7
Uptown,849.6666666666666
Near South Side,839.8333333333334
Garfield Ridge,745.4
Logan Square,620.3333333333334
Edgewater,583.3
West Town,516.4
Old Town,469.56666666666666
Rush & Division,395.53333333333336
North Center,393.26666666666665
Lincoln Square,356.73333333333335
Rogers Park,299.03333333333336
West Ridge,298.3333333333333
Irving Park,296.56666666666666
Hyde Park,255.13333333333333
Avondale,208.23333333333332
Wicker Park,182.6
Albany Park,180.9
United Center,178.9
Lower West Side,143.3
Douglas,142.9
Portage Park,119.73333333333333
Humboldt Park,97.86666666666666
Norwood Park,95.23333333333333
Kenwood,89.36666666666666
Bridgeport,77.1
Armour Square,77.03333333333333
Jefferson Park,74.33333333333333
Bucktown,74.3
North Park,67.83333333333333
Garfield Park,65.76666666666667
Mckinley Park,64.03333333333333
Belmont Cragin,59.03333333333333
Boystown,53.96666666666667
Chinatown,52.43333333333333
Grand Boulevard,51.6
Austin,44.43333333333333
"Sauganash,Forest Glen",43.56666666666667
South Shore,40.53333333333333
Woodlawn,36.166666666666664
Little Village,33.8
Jackson Park,33.10344827586207
North Lawndale,32.166666666666664
Dunning,30.166666666666668
Ukrainian Village,27.6
Hermosa,27.566666666666666
Englewood,25.433333333333334
Chatham,23.2
New City,22.933333333333334
Grand Crossing,22.6
Brighton Park,19.466666666666665
Andersonville,16.866666666666667
Oakland,16.633333333333333
Ashburn,16.133333333333333
Washington Park,16.033333333333335
Auburn Gresham,15.166666666666666
Clearing,14.5
Roseland,14.366666666666667
Wrigleyville,14.233333333333333
Edison Park,14.166666666666666
South Chicago,13.0
Chicago Lawn,12.266666666666667
Beverly,10.5
Calumet Heights,9.566666666666666
Washington Heights,9.133333333333333
Archer Heights,8.366666666666667
Gage Park,8.233333333333333
Fuller Park,8.166666666666666
West Lawn,7.733333333333333
Morgan Park,7.7
South Deering,7.5
Avalon Park,6.966666666666667
West Pullman,6.466666666666667
Montclare,5.766666666666667
West Elsdon,5.666666666666667
Pullman,3.896551724137931
Undef,3.8
Mount Greenwood,3.1379310344827585
Hegewisch,3.1176470588235294
Burnside,2.3333333333333335
East Side,1.9615384615384615
Riverdale,1.8
