iter	Logloss
0	0.687682975
1	0.6822007943
2	0.6763929549
3	0.6709439404
4	0.6655980212
5	0.6604629142
6	0.6557424348
7	0.6504500896
8	0.6455935333
9	0.6409083856
10	0.6361149822
11	0.6317277306
12	0.6280303468
13	0.6238411194
14	0.6197003626
15	0.6158663138
16	0.6119743357
17	0.6086299945
18	0.6052137775
19	0.6014086177
20	0.5981458559
21	0.5945913678
22	0.5912928947
23	0.5880483574
24	0.5847486268
25	0.5824554039
26	0.5795236267
27	0.5763252457
28	0.5735686439
29	0.5708413146
30	0.5678720022
31	0.5650294683
32	0.5624681827
33	0.5599025791
34	0.5576532967
35	0.5551060681
36	0.5528963291
37	0.5504497989
38	0.5481061781
39	0.5461678694
40	0.5439382797
41	0.5415826186
42	0.5394524428
43	0.5377212596
44	0.5359627359
45	0.5341392039
46	0.532481065
47	0.5309661136
48	0.5290802324
49	0.5273536104
50	0.5255968765
51	0.5242169693
52	0.5224930019
53	0.5208448403
54	0.5193643869
55	0.5180190007
56	0.516603108
57	0.5150369773
58	0.5133491736
59	0.5119014722
60	0.5105820175
61	0.5092951546
62	0.5081528286
63	0.5067808722
64	0.5055435182
65	0.5045188926
66	0.5033121815
67	0.502034253
68	0.5008237242
69	0.4995727477
70	0.4985890203
71	0.4975242678
72	0.4963145324
73	0.4952568617
74	0.4944171046
75	0.493443866
76	0.4926111765
77	0.4913796665
78	0.4901838913
79	0.4893363835
80	0.488396847
81	0.4876962134
82	0.486507413
83	0.4856561298
84	0.4849536858
85	0.4840342067
86	0.4831944049
87	0.4823798722
88	0.4815003243
89	0.4808866225
90	0.4801211571
91	0.4792403345
92	0.4786969577
93	0.4777462977
94	0.4769966264
95	0.4761157585
96	0.4755947393
97	0.4747769141
98	0.4739689091
99	0.4733714922
100	0.4724439522
101	0.4717821819
102	0.4710960865
103	0.4704458081
104	0.469588471
105	0.4690957258
106	0.4682976077
107	0.467820872
108	0.4672761449
109	0.4667332022
110	0.4659377221
111	0.4653215084
112	0.4647618006
113	0.4643706706
114	0.4639413872
115	0.463350275
116	0.4627054674
117	0.4623188469
118	0.461791523
119	0.4612617974
120	0.4607001047
121	0.4602311149
122	0.4595127858
123	0.4588530456
124	0.4583873943
125	0.4578213911
126	0.4574506143
127	0.4570620639
128	0.4566156612
129	0.4561464738
130	0.4556197714
131	0.4552561216
132	0.4546369731
133	0.4542435653
134	0.4538625935
135	0.45344734
136	0.4529015605
137	0.4524184113
138	0.452014777
139	0.4514505916
140	0.4509449943
141	0.4505722513
142	0.4502161285
143	0.4497246824
144	0.4493139275
145	0.4490296968
146	0.4486355364
147	0.448273703
148	0.4477959561
149	0.4473749483
150	0.4470276044
151	0.4466609981
152	0.4462333379
153	0.4458505887
154	0.4455683281
155	0.445324715
156	0.4450506927
157	0.4447244272
158	0.4445416325
159	0.4442013719
160	0.4438764689
161	0.4435508148
162	0.4431991416
163	0.4428940918
164	0.4425559513
165	0.4421418073
166	0.441899285
167	0.4414542703
168	0.4411991778
169	0.4408207817
170	0.4403963881
171	0.4401609644
172	0.4397597574
173	0.4392166954
174	0.4388388718
175	0.4385418977
176	0.4381362034
177	0.4378335561
178	0.4376434469
179	0.4373016577
180	0.4370365122
181	0.436763738
182	0.4365749507
